nhdplus_comid,type,channel_type,altered
3917946,UT,natural,unaltered
3917244,UT,natural,unaltered
3917950,UT,natural,unaltered
3917948,UT,natural,unaltered
3917200,UT,natural,unaltered
3917198,UT,natural,unaltered
948010089,UT,natural,altered
3917918,UT,natural,unaltered
3917920,UT,natural,altered
3917922,UT,natural,unaltered
3917364,UT,natural,unaltered
3917372,UT,natural,unaltered
3917176,UT,natural,unaltered
3917164,UT,natural,unaltered
3917160,UT,natural,unaltered
3917158,UT,natural,unaltered
3917178,UT,natural,unaltered
3917172,UT,natural,unaltered
3917374,UT,natural,unaltered
3917392,UT,natural,unaltered
3917912,UT,natural,unaltered
3917156,UT,natural,unaltered
3917328,UT,natural,unaltered
3917330,UT,natural,unaltered
3917162,UT,natural,unaltered
3917154,UT,natural,unaltered
3917326,UT,natural,unaltered
3917130,UT,natural,unaltered
3917114,UT,natural,unaltered
3917106,UT,natural,unaltered
3917916,UT,natural,unaltered
3917084,UT,natural,unaltered
3917082,UT,natural,unaltered
3917914,UT,natural,unaltered
3917194,UT,natural,unaltered
3917136,UT,natural,unaltered
3917138,UT,natural,unaltered
